// Frequency: 900 MHz
//
// FOR OTHER FREQUENCIES or broadband properties, use "Adjust tissues to frequency" or run the
// macro Define Human Material Properties!
//
// DATA WITHOUT WARRANTY
// 
// Tissue properties published in literature have a broad deviation. Depending on the purpose, 
// values have to be appropriately considered, i.e. for conservativeness, wet/dry skin, age 
// dependency, etc. 
// Also the actual geometrical representation of the biological voxel/CAD model has to be 
// taken into account when choosing the tissue properties. 
// The following values are to be regarded as exemplary and without warranty.
// 
// D.Andreuccetti, R.Fossi and C.Petrucci: An Internet resource for the calculation of the 
// dielectric properties of body tissues in the frequency range 10 Hz - 100 GHz. IFAC-CNR, 
// Florence (Italy), 1997. Based on data published by C.Gabriel et al. in 1996. [Online]. 
// Available: http://niremf.ifac.cnr.it/tissprop/
// 
// Bronchi as Trachea, Lung avg defl/infl, Skin avg wet/dry, Ureter as Blood Vessel
// For further information see Online Help
//
### Version 2009 ###
//
// Tissue               	Num	Eps 	Mu	Kappa 	Rho 	K     	HeatCap	BldFlow	Metabol	R	G	B
//                      	 	      	 	[S/m] 	[kg/m3]	[W/mK]	[J/gK]	[W/m3K]	[W/m^3]			
//
Kidney average          	57	58.67	1	1.392	1050	0.50	3.90	3E+05	5E+04	128	10	255
BloodV                   	58	61.36	1	1.538	1050	0.50	3.80	1E+06	0    	80	80	255
Cerebrospinal fluid      	59	68.64	1	2.413	1010	0.60	4.20	0    	0    	0	255	0
Ventricles               	60	68.64	1	2.413	1010	0.60	4.20	0    	0    	20	255	0
Brain grey matter        	61	52.73	1	0.942	1050	0.50	3.70	4E+04	7E+03	120	120	120
Brain white matter       	62	38.89	1	0.591	1040	0.50	3.60	2E+04	7E+03	240	240	240
Cerebellum              	63	49.44	1	1.263	1045	0.50	3.70	4E+04	7E+03	180	180	180
Bone ossicles           	64	12.45	1	0.143	1850	0.40	1.30	3E+03	6E+02	220	220	210
BloodA                  	65	61.36	1	1.538	1050	0.50	3.80	1E+06	0    	255	0	0
Ligament                	66	45.8	1	0.72	1100	0.50	3.50	4E+03	5E+02	255	255	100
Tendon                  	67	45.8	1	0.72	1100	0.50	3.50	4E+03	5E+02	255	255	50
Blood vessel            	68	44.78	1	0.696	1060	0.46	3.30	1E+06	0    	230	0	0
Body fluid              	69	68.90	1	1.636	1000	0.60	4.20	0    	0    	128	128	255
Bone marrow             	70	5.504	1	0.040	1000	0.20	2.70	3E+04	6E+03	230	220	240
Eye cornea              	71	55.24	1	1.394	1050	0.50	3.60	0    	0    	0	0	255
Eye sclera              	72	55.27	1	1.167	1030	0.40	3.00	2E+03	0E+00	100	240	240
Eye retina              	73	55.27	1	1.167	1030	0.50	3.70	4E+04	7E+03	0	255	128
Nail                    	74	12.45	1	0.143	1030	0.35	2.10	0    	0    	255	220	220
Lung inflated           	75	22.00	1	0.457	 800	0.40	3.60	9E+03	2E+03	80	192	255
Lung deflated           	76	51.42	1	0.858	1050	0.60	3.60	2E+04	4E+03	64	200	255
Pericardial fluid       	77	68.64	1	2.413	1010	0.60	4.20	0    	0    	60	255	20
Pericardium             	78	45.8	1	0.72	1100	0.50	3.50	4E+03	5E+02	255	240	100
ear Cartilage           	128	42.65	1	0.782	1100	0.60	3.50	9E+03	2E+03	250	250	211
ear Skin                	129	43.75	1	0.856	1100	0.30	3.50	9E+03	2E+03	255	211	211
ext BloodA              	133	61.36	1	1.538	1050	0.50	3.80	1E+06	0    	255	20	20
ext BloodV              	134	61.36	1	1.538	1050	0.50	3.80	1E+06	0    	100	100	255
ext Blood vessel        	135	44.78	1	0.696	1060	0.46	3.30	1E+06	0    	230	20	20
ext Bone cortical       	136	12.45	1	0.143	2000	0.40	1.30	3E+03	6E+02	230	230	230
ext Bone medullary cavity	137	20.79	1	0.340	1000	0.20	2.70	3E+04	6E+03	220	230	250
ext Bone spongiosa      	138	20.79	1	0.340	1200	0.40	1.30	3E+03	6E+02	210	230	250
ext Cartilage           	139	42.65	1	0.782	1100	0.60	3.50	9E+03	2E+03	250	250	210
ext Fat                 	140	 5.46	1	0.051	 900	0.20	2.50	2E+03	3E+02	255	210	120
ext Ligament            	141	45.8	1	0.72	1100	0.50	3.50	4E+03	5E+02	255	255	115
ext Muscle              	142	55.03	1	0.943	1080	0.50	3.50	3E+03	5E+02	210	140	140
ext Nail                	143	12.45	1	0.143	1030	0.35	2.10	0    	0    	255	221	221
ext Nerve               	144	32.53	1	0.574	1080	0.50	3.70	4E+04	7E+03	20	255	140
ext Skin                	145	43.75	1	0.856	1100	0.30	3.50	9E+03	2E+03	255	210	210
ext Tendon              	146	45.8	1	0.72	1100	0.50	3.50	4E+03	5E+02	255	255	70
ext Muscle fat average  	147	30.25	1	0.497	1000	0.40	3.00	2E+03	4E+02	210	160	130
ext2 BloodA              	149	61.36	1	1.538	1050	0.50	3.80	1E+06	0    	235	0	0
ext2 BloodV              	150	61.36	1	1.538	1050	0.50	3.80	1E+06	0    	60	60	255
ext2 Blood vessel        	151	44.78	1	0.696	1060	0.46	3.30	1E+06	0    	210	0	0
ext2 Bone cortical       	152	12.45	1	0.143	2000	0.40	1.30	3E+03	6E+02	210	210	210
ext2 Bone medullary cavity	153	20.79	1	0.340	1000	0.20	2.70	3E+04	6E+03	200	210	230
ext2 Bone spongiosa      	154	20.79	1	0.340	1200	0.40	1.30	3E+03	6E+02	190	210	230
ext2 Cartilage           	155	42.65	1	0.782	1100	0.60	3.50	9E+03	2E+03	230	230	190
ext2 Fat                 	156	 5.46	1	0.051	 900	0.20	2.50	2E+03	3E+02	255	190	100
ext2 Ligament            	157	45.8	1	0.72	1100	0.50	3.50	4E+03	5E+02	255	255	95
ext2 Muscle              	158	55.03	1	0.943	1080	0.50	3.50	3E+03	5E+02	200	100	100
ext2 Nail                	159	12.45	1	0.143	1030	0.35	2.10	0    	0    	255	221	221
ext2 Nerve               	160	32.53	1	0.574	1080	0.50	3.70	4E+04	7E+03	0	235	100
ext2 Skin                	161	43.75	1	0.856	1100	0.30	3.50	9E+03	2E+03	255	170	170
ext2 Tendon              	162	45.8	1	0.72	1100	0.50	3.50	4E+03	5E+02	255	255	30
ext2 Muscle fat average 	163	30.25	1	0.497	1000	0.40	3.00	2E+03	4E+02	190	140	110
Placenta                	200	67.27	1	1.596	1050	0.60	3.80	4E+05	6E+04	241	60	60
Umbilical cord          	201	62.95 	1	1.153	1100	0.30	3.50	9E+03	2E+03	241	80	0
Amniotic fluid          	202	68.90	1	1.636	1010	0.50	4.20	0    	0    	129	129	255
Fetus Head tissue       	203	54.52	1	0.896	1000	0.40	3.00	2E+03	4E+02	201	120	120
Fetus Skin              	204	63.11 	1	1.156	1100	0.30	3.50	9E+03	2E+03	255	193	193
Fetus Trunk             	205	54.52	1	0.896	1000	0.40	3.00	2E+03	4E+02	202	120	120
Fetus Arms              	206	54.52	1	0.896	1000	0.40	3.00	2E+03	4E+02	203	120	120
Fetus Legs              	207	54.52	1	0.896	1000	0.40	3.00	2E+03	4E+02	204	120	120
Fetus Brain             	208	60.15	1	1.007	1045	0.50	3.70	4E+04	4E+03	121	121	121
Fetus Eyes              	209	64.81	1	1.368	1000	0.60	3.90	0    	0    	241	241	200
Fetus Eye lenses        	210	62.75	1	1.069	1090	0.40	3.60	0    	0    	1	255	255
Fetus Spinal cord       	211	52.23	1	0.921	1080	0.50	3.70	4E+04	7E+03	241	241	241
Fetus Lungs             	212	43.02	1	0.893	1020	0.60	3.60	9E+03	2E+03	65	192	255
Fetus Heart             	213	68.19	1	1.400	1080	0.50	3.70	5E+04	1E+04	221	0	0
Fetus Kidneys           	214	66.83	1	1.586	1050	0.50	3.90	3E+05	5E+04	129	0	255
Fetus Liver             	215	60.39	1	1.103	1050	0.50	3.60	7E+04	1E+04	129	64	32
Fetus Stomach           	216	70.00	1	1.277	1050	0.60	3.60	3E+04	5E+03	255	129	0
Fetus Gall bladder      	217	67.07	1	1.425	1050	0.60	3.90	9E+03	2E+03	41	255	0
Fetus Cranium           	218	12.45	1	0.143	1850	0.40	1.30	3E+03	6E+02	221	221	221
Fetus CSF               	219	71.57	1	2.516	1000	0.60	4.20	0    	0    	1	255	1
Fetus Spine             	220	12.45	1	0.143	1850	0.40	1.30	3E+03	6E+02	240	240	255
Undefined               	255	 1.00	1	0.000	   0	0.00	0.00	0    	0    	255	0	255
