// Frequency: 100 MHz
//
// FOR OTHER FREQUENCIES or broadband properties, use "Adjust tissues to frequency" or run the
// macro Define Human Material Properties!
//
// DATA WITHOUT WARRANTY
// 
// Tissue properties published in literature have a broad deviation. Depending on the purpose, 
// values have to be appropriately considered, i.e. for conservativeness, wet/dry skin, age 
// dependency, etc. 
// Also the actual geometrical representation of the biological voxel/CAD model has to be 
// taken into account when choosing the tissue properties. 
// The following values are to be regarded as exemplary and without warranty.
// 
// D.Andreuccetti, R.Fossi and C.Petrucci: An Internet resource for the calculation of the 
// dielectric properties of body tissues in the frequency range 10 Hz - 100 GHz. IFAC-CNR, 
// Florence (Italy), 1997. Based on data published by C.Gabriel et al. in 1996. [Online]. 
// Available: http://niremf.ifac.cnr.it/tissprop/
// 
// Bronchi as Trachea, Lung avg defl/infl, Skin avg wet/dry, Ureter as Blood Vessel
// For further information see Online Help
//
### Version 2009 ###
//
// Tissue               	Num	Eps 	Mu	Kappa 	Rho 	K     	HeatCap	BldFlow	Metabol	R	G	B
//                      	 	      	 	[S/m] 	[kg/m3]	[W/mK]	[J/gK]	[W/m3K]	[W/m^3]			
//
Adrenals                	1	68.81	1	0.794	1025	0.40	3.60	4E+05	6E+04	0	255	20
Blood                   	2	76.82	1	1.233	1050	0.50	3.80	1E+06	0    	255	0	0
Bone cortical           	3	15.28	1	0.064	2000	0.40	1.30	3E+03	6E+02	220	220	220
Bone medullary cavity   	4	27.63	1	0.173	1000	0.20	2.70	3E+04	6E+03	210	220	240
Bone spongiosa          	5	27.63	1	0.173	1200	0.40	1.30	3E+03	6E+02	200	220	240
Brain                   	6	68.47	1	0.442	1045	0.50	3.70	4E+04	7E+03	140	140	140
Breast glandular tissue 	7	68.81	1	0.794	1040	0.60	3.60	4E+04	7E+03	255	128	255
Bronchi                 	8	52.96	1	0.548	1060	0.50	3.50	9E+03	2E+03	0	255	40
Cartilage               	9	55.76	1	0.475	1100	0.60	3.50	9E+03	2E+03	240	240	200
Colon contents          	10	81.80	1	0.680	1060	0.60	3.60	0    	0    	180	120	0
Colon wall              	11	81.80	1	0.680	1060	0.60	3.60	5E+04	9E+03	180	90	0
Eye bulb                	12	69.08	1	1.504	1010	0.60	3.90	0    	0    	240	240	200
Eye lens                	13	55.10	1	0.600	1090	0.40	3.70	0    	0    	0	255	255
