// Frequency: 100 MHz
//
// FOR OTHER FREQUENCIES or broadband properties, use "Adjust tissues to frequency" or run the
// macro Define Human Material Properties!
//
// DATA WITHOUT WARRANTY
// 
// Tissue properties published in literature have a broad deviation. Depending on the purpose, 
// values have to be appropriately considered, i.e. for conservativeness, wet/dry skin, age 
// dependency, etc. 
// Also the actual geometrical representation of the biological voxel/CAD model has to be 
// taken into account when choosing the tissue properties. 
// The following values are to be regarded as exemplary and without warranty.
// 
// D.Andreuccetti, R.Fossi and C.Petrucci: An Internet resource for the calculation of the 
// dielectric properties of body tissues in the frequency range 10 Hz - 100 GHz. IFAC-CNR, 
// Florence (Italy), 1997. Based on data published by C.Gabriel et al. in 1996. [Online]. 
// Available: http://niremf.ifac.cnr.it/tissprop/
// 
// Bronchi as Trachea, Lung avg defl/infl, Skin avg wet/dry, Ureter as Blood Vessel
// For further information see Online Help
//
### Version 2009 ###
//
// Tissue               	Num	Eps 	Mu	Kappa 	Rho 	K     	HeatCap	BldFlow	Metabol	R	G	B
//                      	 	      	 	[S/m] 	[kg/m3]	[W/mK]	[J/gK]	[W/m3K]	[W/m^3]			
//
Fat                     	14	 6.07	1	0.036	 900	0.20	2.50	2E+03	3E+02	255	200	100
Gall bladder contents   	15	94.96	1	1.541	1010	0.60	3.90	0    	0    	100	255	100
Gall bladder            	16	79.00	1	1.014	1050	0.60	3.90	9E+03	2E+03	40	255	0
Heart                   	17	90.82	1	0.733	1080	0.50	3.70	5E+04	1E+04	220	0	0
Kidney cortex           	18	98.09	1	0.811	1050	0.50	3.90	3E+05	5E+04	128	0	255
Kidney medulla          	19	98.09	1	0.811	1040	0.50	3.90	3E+05	5E+04	128	80	255
Kidney pelvis           	20	98.09	1	0.811	1050	0.50	3.90	3E+05	5E+04	90	60	255
Liver                   	21	69.02	1	0.487	1050	0.50	3.60	7E+04	1E+04	128	64	32
Lung                    	22	49.38	1	0.434	 800	0.60	3.60	9E+03	2E+03	64	192	255
Lymphatic nodes         	23	68.81	1	0.794	1030	0.40	3.10	4E+04	7E+03	200	255	0
Mucosa                  	24	65.97	1	0.523	1070	0.30	3.10	9E+03	2E+03	120	180	0
Muscle                  	25	65.97	1	0.708	1080	0.50	3.50	3E+03	5E+02	200	120	120
Oesophagus              	26	77.90	1	0.900	1040	0.50	3.50	9E+03	2E+03	255	160	0
Ovaries                 	27	87.24	1	0.751	1048	0.50	3.60	4E+04	7E+03	255	128	255
Pancreas                	28	68.81	1	0.794	1060	0.60	3.50	4E+04	7E+03	0	255	60
Pituitary gland         	29	68.81	1	0.794	1050	0.60	3.80	4E+04	7E+03	0	255	80
Prostate                	30	75.60	1	0.911	1045	0.50	3.80	4E+04	7E+03	0	255	100
Penis                   	31	72.93	1	0.491	1100	0.30	3.50	9E+03	2E+03	0	180	255
Muscle fat average      	32	36.02	1	0.372	1000	0.40	3.00	2E+03	4E+02	200	150	120
Salivary glands         	33	68.81	1	0.794	1040	0.60	3.10	4E+04	7E+03	0	255	124
Skin                    	34	69.45	1	0.507	1100	0.30	3.50	9E+03	2E+03	255	192	192
Small intestine contents	35	96.55	1	1.655	1030	0.60	3.60	0    	0    	160	80	0
Small intestine wall    	36	96.55	1	1.655	1030	0.60	4.20	5E+04	9E+03	255	190	0
Nerve                   	37	47.27	1	0.338	1080	0.50	3.70	4E+04	7E+03	0	255	120
Spleen                  	38	90.66	1	0.802	1050	0.50	3.70	8E+04	2E+04	160	240	200
Stomach contents        	39	77.90	1	0.900	1050	0.50	3.60	0    	0    	180	90	0
Stomach wall            	40	77.90	1	0.900	1050	0.50	3.60	3E+04	5E+03	255	128	0
Teeth                   	41	15.28	1	0.064	2200	0.40	1.30	3E+03	6E+02	255	255	240
Testes                  	42	75.60	1	0.911	1050	0.50	3.70	4E+04	7E+03	0	255	220
Small intestine         	43	96.55	1	1.655	1050	0.60	3.70	5E+04	9E+03	255	190	0
Thymus                  	44	68.81	1	0.794	1025	0.40	3.70	4E+04	7E+03	180	255	0
Thyroid                 	45	68.81	1	0.794	1050	0.50	3.50	4E+05	6E+04	0	255	140
Tongue                  	46	67.89	1	0.674	1080	0.50	3.50	3E+03	5E+02	200	120	120
Tonsils                 	47	68.81	1	0.794	1025	0.40	3.10	4E+05	6E+04	0	255	160
Trachea                 	48	52.96	1	0.548	1100	0.50	3.60	9E+03	2E+03	0	255	180
Ureter                  	49	59.78	1	0.462	1060	0.50	3.40	9E+03	2E+03	120	255	0
Urinary bladder contents	50	69.08	1	1.504	1010	0.50	4.20	0    	0    	255	255	120
Urinary bladder wall    	51	22.65	1	0.294	1040	0.60	3.50	9E+03	2E+03	255	255	0
Uterus Cervix           	52	79.98	1	0.943	1080	0.50	3.60	3E+03	5E+02	255	120	120
Air inside body         	53	 1.00	1	0.000	   0	0.02	1.00	0    	0    	80	255	255
Mucosa anterior nasal   	54	65.97	1	0.523	1070	0.30	3.10	9E+03	2E+03	0	255	130
Mucosa posterior nasal  	55	65.97	1	0.523	1070	0.30	3.10	9E+03	2E+03	0	255	131
Bone average            	56	15.28	1	0.064	1850	0.40	1.30	3E+03	6E+02	220	220	220
Kidney average          	57	98.09	1	0.811	1050	0.50	3.90	3E+05	5E+04	128	0	255
BloodV                   	58	76.82	1	1.233	1050	0.50	3.80	1E+06	0    	80	80	255
Cerebrospinal fluid      	59	88.90	1	2.114	1010	0.60	4.20	0    	0    	0	255	0
Ventricles               	60	88.90	1	2.114	1010	0.60	4.20	0    	0    	20	255	0
Brain grey matter        	61	80.14	1	0.560	1050	0.50	3.70	4E+04	7E+03	120	120	120
Brain white matter       	62	56.80	1	0.324	1040	0.50	3.60	2E+04	7E+03	240	240	240
Cerebellum              	63	89.77	1	0.790	1045	0.50	3.70	4E+04	7E+03	180	180	180
Bone ossicles           	64	15.28	1	0.064	1850	0.40	1.30	3E+03	6E+02	220	220	220
BloodA                  	65	76.82	1	1.233	1050	0.50	3.80	1E+06	0    	255	0	0
Placenta                	200	83.16	1	0.687	1050	0.60	3.80	4E+05	6E+04	241	60	60
Umbilical cord          	201	71.21	1	0.564	1100	0.30	3.50	9E+03	2E+03	241	80	0
Amniotic fluid          	202	69.08	1	1.504	1010	0.50	4.20	0    	0    	129	129	255
Fetus Head tissue       	203	57.91	1	0.598	1000	0.40	3.00	2E+03	4E+02	201	120	120
Fetus Skin              	204	71.34	1	0.565	1100	0.30	3.50	9E+03	2E+03	255	193	193
Fetus Trunk             	205	57.91	1	0.598	1000	0.40	3.00	2E+03	4E+02	201	120	120
Fetus Arms              	206	57.91	1	0.598	1000	0.40	3.00	2E+03	4E+02	201	120	120
Fetus Legs              	207	57.91	1	0.598	1000	0.40	3.00	2E+03	4E+02	201	120	120
Fetus Brain             	208	71.69	1	0.463	1045	0.50	3.70	4E+04	4E+03	121	121	121
Fetus Eyes              	209	71.26	1	0.950	1000	0.60	3.90	0    	0    	241	241	200
Fetus Eye lenses        	210	66.67	1	0.726	1090	0.40	3.60	0    	0    	1	255	255
Fetus Spinal cord       	211	61.26	1	0.438	1080	0.50	3.70	4E+04	7E+03	241	241	241
Fetus Lungs             	212	50.64	1	0.489	1020	0.60	3.60	9E+03	2E+03	65	192	255
Fetus Heart             	213	80.48	1	0.650	1080	0.50	3.70	5E+04	1E+04	221	0	0
Fetus Kidneys           	214	84.17	1	0.696	1050	0.50	3.90	3E+05	5E+04	129	0	255
Fetus Liver             	215	71.88	1	0.507	1050	0.50	3.60	7E+04	1E+04	129	64	32
Fetus Stomach           	216	75.89	1	0.877	1050	0.60	3.60	3E+04	5E+03	255	129	0
Fetus Gall bladder      	217	76.37	1	0.980	1050	0.60	3.90	9E+03	2E+03	41	255	0
Fetus Cranium           	218	15.28	1	0.064	1850	0.40	1.30	3E+03	6E+02	221	221	221
Fetus CSF               	219	80.90	1	2.114	1000	0.60	4.20	0    	0    	0	255	0
Fetus Spine             	220	15.23	1	0.064	1850	0.40	1.30	3E+03	6E+02	240	240	255
Undefined               	255	 1.00	1	0.000	   0	0.00	0.00	0    	0    	255	0	255
