//                              Eps	Mu	Kap	Rho	K	Cap	Flw	Met	R	G	B
// Values to be set by VBA macro after import
Uterus                          1	1	1	1	1	1	1	1	255	120	120
Vagina                          1	1	1	1	1	1	1	1	255	100	255
Vein                            1	1	1	1	1	1	1	1	255	0	0
Vessel                          1	1	1	1	1	1	1	1	255	0	0
Vertebrae                       1	1	1	1	1	1	1	1	220	220	220
Yellow bone marrow              1	1	1	1	1	1	1	1	240	220	200
Calcaneus left                  1	1	1	1	1	1	1	1	220	220	220
Calcaneus right                 1	1	1	1	1	1	1	1	220	220	220
Calcaneus marrow left           1	1	1	1	1	1	1	1	200	220	240
Calcaneus marrow right          1	1	1	1	1	1	1	1	200	220	240
Capitatum left                  1	1	1	1	1	1	1	1	220	220	220
Capitatum right                 1	1	1	1	1	1	1	1	220	220	220
Capitatum marrow right          1	1	1	1	1	1	1	1	200	220	240
Capitatum marrow right          1	1	1	1	1	1	1	1	200	220	240
Distalis I left                 1	1	1	1	1	1	1	1	220	220	220
Distalis I right                1	1	1	1	1	1	1	1	220	220	220
Distalis II left                1	1	1	1	1	1	1	1	220	220	220
Distalis II right               1	1	1	1	1	1	1	1	220	220	220
Distalis III left               1	1	1	1	1	1	1	1	220	220	220
Distalis III right              1	1	1	1	1	1	1	1	220	220	220
Distalis IV left                1	1	1	1	1	1	1	1	220	220	220
Distalis IV right               1	1	1	1	1	1	1	1	220	220	220
Distalis V left                 1	1	1	1	1	1	1	1	220	220	220
Distalis V right                1	1	1	1	1	1	1	1	220	220	220
Femur left                      1	1	1	1	1	1	1	1	220	220	220
Femur right                     1	1	1	1	1	1	1	1	220	220	220
Femur marrow left               1	1	1	1	1	1	1	1	200	220	240
Femur marrow right              1	1	1	1	1	1	1	1	200	220	240
Fibula left                     1	1	1	1	1	1	1	1	220	220	220
Fibula right                    1	1	1	1	1	1	1	1	220	220	220
Fibula marrow left              1	1	1	1	1	1	1	1	200	220	240
Fibula marrow right             1	1	1	1	1	1	1	1	200	220	240
Hamatum left                    1	1	1	1	1	1	1	1	220	220	220
Hamatum right                   1	1	1	1	1	1	1	1	220	220	220
Hamatum marrow left             1	1	1	1	1	1	1	1	200	220	240
Hamatum marrow right            1	1	1	1	1	1	1	1	200	220	240
Humerus left                    1	1	1	1	1	1	1	1	220	220	220
Humerus right                   1	1	1	1	1	1	1	1	220	220	220
Humerus marrow left             1	1	1	1	1	1	1	1	200	220	240
Humerus marrow right            1	1	1	1	1	1	1	1	200	220	240
Lunatum left                    1	1	1	1	1	1	1	1	220	220	220
Lunatum right                   1	1	1	1	1	1	1	1	220	220	220
Lunatum marrow left             1	1	1	1	1	1	1	1	200	220	240
Lunatum marrow right            1	1	1	1	1	1	1	1	200	220	240
Media II left                   1	1	1	1	1	1	1	1	220	220	220
Media II right                  1	1	1	1	1	1	1	1	220	220	220
Media III left                  1	1	1	1	1	1	1	1	220	220	220
Media III right                 1	1	1	1	1	1	1	1	220	220	220
Media IV left                   1	1	1	1	1	1	1	1	220	220	220
Media IV right                  1	1	1	1	1	1	1	1	220	220	220
Media V left                    1	1	1	1	1	1	1	1	220	220	220
Media V right                   1	1	1	1	1	1	1	1	220	220	220
Metacarpus I left               1	1	1	1	1	1	1	1	220	220	220
Metacarpus I right              1	1	1	1	1	1	1	1	220	220	220
Metacarpus I marrow left        1	1	1	1	1	1	1	1	200	220	240
Metacarpus I marrow right       1	1	1	1	1	1	1	1	200	220	240
Metacarpus II left              1	1	1	1	1	1	1	1	220	220	220
Metacarpus II marrow left       1	1	1	1	1	1	1	1	200	220	240
Metacarpus II marrow right      1	1	1	1	1	1	1	1	200	220	240
Metacarpus II right             1	1	1	1	1	1	1	1	220	220	220
Metacarpus III left             1	1	1	1	1	1	1	1	220	220	220
Metacarpus III right            1	1	1	1	1	1	1	1	220	220	220
Metacarpus III marrow left      1	1	1	1	1	1	1	1	200	220	240
Metacarpus III marrow right     1	1	1	1	1	1	1	1	200	220	240
Metacarpus IV left              1	1	1	1	1	1	1	1	220	220	220
Metacarpus IV right             1	1	1	1	1	1	1	1	220	220	220
Metacarpus IV marrow left       1	1	1	1	1	1	1	1	200	220	240
Metacarpus IV marrow right      1	1	1	1	1	1	1	1	200	220	240
Metacarpus V left               1	1	1	1	1	1	1	1	220	220	220
Metacarpus V right              1	1	1	1	1	1	1	1	220	220	220
Metacarpus V marrow left        1	1	1	1	1	1	1	1	200	220	240
Metacarpus V marrow right       1	1	1	1	1	1	1	1	200	220	240
Patella                         1	1	1	1	1	1	1	1	220	220	220
Pisiforme left                  1	1	1	1	1	1	1	1	220	220	220
Pisiforme right                 1	1	1	1	1	1	1	1	220	220	220
Proximalis I left               1	1	1	1	1	1	1	1	220	220	220
Proximalis I right              1	1	1	1	1	1	1	1	220	220	220
Proximalis I marrow left        1	1	1	1	1	1	1	1	200	220	240
Proximalis I marrow right       1	1	1	1	1	1	1	1	200	220	240
Proximalis II left              1	1	1	1	1	1	1	1	220	220	220
Proximalis II right             1	1	1	1	1	1	1	1	220	220	220
Proximalis III left             1	1	1	1	1	1	1	1	220	220	220
