basis_index,Re_J,Im_J,magnitude_J,phase_deg
81,-2.128508893973e-02,5.836544526810e-03,2.207080114508e-02,164.665938
82,7.148654180180e-03,8.636097086219e-04,7.200630411057e-03,6.888368
83,1.860360506549e-03,-1.076446815864e-02,1.092404302229e-02,-80.194759
84,-3.322820512668e-03,-1.728044216356e-03,3.745300117893e-03,-152.523159
85,-1.668452783092e-03,-1.503776538878e-02,1.513004040237e-02,-96.331121
86,8.680432977052e-03,8.909498885654e-03,1.243901471430e-02,45.746095
87,1.829420614594e-03,6.453624766507e-03,6.707909690207e-03,74.173462
88,5.144242884192e-05,7.016575756748e-03,7.016764330777e-03,89.579940
89,-2.989176835929e-02,9.226705855402e-03,3.128338083692e-02,162.846088
90,-4.790417371253e-04,3.152401332073e-03,3.188591404424e-03,98.640613
91,1.395348756317e-02,-4.491325194105e-03,1.465850664886e-02,-17.842242
92,-6.730127246701e-03,4.983260011505e-03,8.374215969215e-03,143.482247
93,4.805830339316e-03,-1.405836492650e-02,1.485710704199e-02,-71.127086
94,6.406377926493e-03,1.489597781499e-02,1.621517293160e-02,66.728700
95,-1.589951325332e-02,-1.398468145437e-03,1.596089705644e-02,-174.973390
96,-9.124135735762e-03,9.022358940622e-03,1.283171125681e-02,135.321347
97,1.177494449448e-02,-3.129953300712e-03,1.218383870185e-02,-14.885834
98,-1.304134455623e-03,1.825001018175e-02,1.829654716913e-02,94.087373
99,-8.228066069166e-03,-5.464388907818e-03,9.877277832199e-03,-146.411234
100,1.265814859703e-02,-5.393802158438e-03,1.375942686411e-02,-23.079486
101,2.078763105980e-02,-6.523249006679e-03,2.178711506100e-02,-17.422084
102,-1.024884284283e-02,4.051095100780e-03,1.102044242000e-02,158.432430
103,-1.275555632317e-03,6.469449368087e-03,6.593998581845e-03,101.153718
104,5.902960303769e-03,-1.945554896087e-02,2.033133851266e-02,-73.121807
105,1.507503573528e-03,1.049379321234e-02,1.060152173075e-02,81.825008
106,2.733418415301e-02,-6.690647318281e-02,7.227471049456e-02,-67.777864
107,3.151020944873e-03,5.152998718218e-04,3.192877534910e-03,9.287611
108,-5.530638683567e-03,-5.330509018435e-03,7.681294854632e-03,-136.055624
109,5.350852780194e-03,-8.804420683681e-03,1.030288547207e-02,-58.711019
110,-1.856237513102e-04,6.959786473776e-03,6.962261409744e-03,91.527768
111,-1.296998294055e-02,6.056047269996e-03,1.431419456395e-02,154.970816
112,9.842116665162e-03,-3.071045517711e-03,1.031012032047e-02,-17.329540
113,-1.190091979021e-03,1.714440016285e-03,2.087013054096e-03,124.766751
114,1.219151704633e-02,-6.758268230549e-03,1.393941452741e-02,-29.001438
