//	DATA WITHOUT WARRANTY	D.Andreuccetti, R.Fossi and C.Petrucci: An Internet resource for the calculation of the dielectric properties of body tissues in the frequency range 10 Hz - 100 GHz. IFAC-CNR, Florence (Italy), 1997. Based on data published by C.Gabriel et al. in 1996. [Online]. Available: http://niremf.ifac.cnr.it/tissprop/
//
//	VALUES MUST BE DELIVERED IN THE UNITS GIVEN BELOW
//
Tissue                  	Rho    	K      	HeatCap 	BldFlow 	Metabol 	epsInf	deltaEps1	tau1   	alpha1	deltaEps2	tau2    	alpha2	sigmaIon	deltaEps3	tau3    	alpha3	deltaEps4	tau4   	alpha4
                        	[kg/m3]	[W/m K]	[J/kg K]	[W/m3 K]	[W/m3]  	      	         	[ps]   	      	         	[ns]    	      	        	         	[mus]   	      	         	[ms]   	
//
Ovaries                 	1048	0.5 	3600    	4.00E+05	6.00E+04	4.000 	40.00    	8.842  	0.150 	400      	15.915  	0.250 	0.300   	1.00E+5  	159.155 	0.270 	4.00E+7  	15.915 	0.000
Pancreas                	1060	0.6 	3500    	4.00E+04	7.00E+03	4.000 	55.00    	7.958  	0.100 	2500     	159.155 	0.100 	0.500   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Pituitary gland         	1050	0.6 	3800    	4.00E+05	6.00E+04	4.000 	55.00    	7.958  	0.100 	2500     	159.155 	0.100 	0.500   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Prostate                	1045	0.5 	3800     	4.00E+05	6.00E+04	4.000 	55.00    	7.958  	0.100 	5000     	159.155 	0.100 	0.400   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Penis                   	1100	0.3 	3500    	9.00E+03	2.00E+03	4     	47.5     	8.1675 	0.1   	2740     	106.103 	0.05  	0.35    	15000    	80.3735 	0.18  	15000    	8.7535 	0.1
Muscle fat average      	1000	0.4 	3000    	2.00E+03	4.00E+02	3.25  	26.5     	7.596  	0.15  	3507.5   	184.7965	0.1   	0.105   	616500   	238.7325	0.075 	17500000 	5.116  	0.005
Salivary glands         	1040	0.6 	3100    	4.00E+05	6.00E+04	4.000 	55.00    	7.958  	0.100 	2500     	159.155 	0.100 	0.500   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Skin                    	1100	0.3 	3500    	9.00E+03	2.00E+03	4     	35.5     	7.596  	0.05  	690      	56.029  	0.1   	0       	15000    	80.3735 	0.18  	15000    	8.7535 	0.2
Small intestine contents	1030	0.6 	3600    	0       	0       	4.000 	50.00    	7.958  	0.100 	10000    	159.155 	0.100 	0.500   	5.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Small intestine wall    	1030	0.6 	4200    	5.00E+04	9.00E+03	4.000 	50.00    	7.958  	0.100 	10000    	159.155 	0.100 	0.500   	5.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Nerve                   	1080	0.5 	3700    	4.00E+04	7.00E+03	4.000 	26.00    	7.958  	0.100 	500      	106.103 	0.150 	0.006   	7.00E+4  	15.915  	0.200 	4.00E+7  	15.915 	0.000
Spleen                  	1050	0.5 	3700    	8.00E+04	2.00E+04	4.000 	48.00    	7.958  	0.100 	2500     	63.662  	0.150 	0.030   	2.00E+5  	265.258 	0.250 	5.00E+7  	6.366  	0.000
Stomach contents        	1050	0.5 	3600    	0       	0       	4.000 	60.00    	7.958  	0.100 	2000     	79.577  	0.100 	0.500   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Stomach wall            	1050	0.5 	3600    	3.00E+04	5.00E+03	4.000 	60.00    	7.958  	0.100 	2000     	79.577  	0.100 	0.500   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Teeth                   	2200	0.4 	1300    	3.00E+03	6.00E+02	2.500 	10.00    	13.263 	0.200 	180      	79.577  	0.200 	0.020   	5.00E+3  	159.155 	0.200 	1.00E+5  	15.915 	0.000
Testes                  	1050	0.5 	3700    	4.00E+05	6.00E+04	4.000 	55.00    	7.958  	0.100 	5000     	159.155 	0.100 	0.400   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Small intestine         	1050	0.6 	3700    	5.00E+04	9.00E+03	4.000 	50.00    	7.958  	0.100 	10000    	159.155 	0.100 	0.500   	5.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Thymus                  	1025	0.4 	3700    	4.00E+05	6.00E+04	4.000 	55.00    	7.958  	0.100 	2500     	159.155 	0.100 	0.500   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Thyroid                 	1050	0.5 	3500    	4.00E+05	6.00E+04	4.000 	55.00    	7.958  	0.100 	2500     	159.155 	0.100 	0.500   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Tongue                  	1080	0.5 	3500    	3.00E+03	5.00E+02	4.000 	50.00    	7.958  	0.100 	4000     	159.155 	0.100 	0.250   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Tonsils                 	1025	0.4 	3100    	4.00E+05	6.00E+04	4.000 	55.00    	7.958  	0.100 	2500     	159.155 	0.100 	0.500   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
