element_index,cx,cy,cz,Re_J,Im_J,magnitude_J
0,2.863563876614e+03,-1.969795636882e+03,-4.169099087422e+03,-7.394027375027e-15,-6.937837403900e-12,6.937841344006e-12
1,1.592588551082e+03,-1.239332930183e+03,-4.169099087422e+03,-1.121651779473e-14,-3.978570087102e-12,3.978585898061e-12
